Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C1M_T10_1	C1M_T10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3532233.0	0.0	151.0	37.0	27.22419039735964	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T10_2	C1M_T10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3532233.0	0.0	151.0	37.0	28.08018109827193	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T15_1	C1M_T15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4060879.0	0.0	151.0	37.0	25.215210777512954	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T15_2	C1M_T15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4060879.0	0.0	151.0	37.0	27.544452552232475	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T20_1	C1M_T20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4176290.0	0.0	151.0	37.0	25.336083332366456	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T20_2	C1M_T20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4176290.0	0.0	151.0	37.0	28.38501823062307	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T01_1	C2I_T01_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2480355.0	0.0	151.0	37.0	32.3980424918527	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T01_2	C2I_T01_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2480355.0	0.0	151.0	37.0	34.28866356784402	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T02_1	C2I_T02_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2649935.0	0.0	151.0	37.0	22.28222402108595	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T02_2	C2I_T02_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2649935.0	0.0	151.0	37.0	24.865402874784348	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T03_1	C2I_T03_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2412966.0	0.0	151.0	37.0	19.967637598321602	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T03_2	C2I_T03_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2412966.0	0.0	151.0	37.0	23.00285964028126	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T04_1	C2I_T04_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1618531.0	0.0	151.0	37.0	25.274436892113595	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T04_2	C2I_T04_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1618531.0	0.0	151.0	37.0	26.426324587448967	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
C2I_T05_1	C2I_T05_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2370844.0	0.0	151.0	37.0	23.497293617974385	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T05_2	C2I_T05_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2370844.0	0.0	151.0	37.0	26.19682471473427	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T10_1	C2I_T10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2403629.0	0.0	151.0	37.0	22.8952063920527	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T10_2	C2I_T10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2403629.0	0.0	151.0	37.0	25.517065201548682	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T15_1	C2I_T15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2010847.0	0.0	151.0	38.0	25.631967205846944	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T15_2	C2I_T15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2010847.0	0.0	151.0	37.0	26.677320070149353	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T20_1	C2I_T20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4555154.0	0.0	151.0	37.0	18.690176594725173	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2I_T20_2	C2I_T20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4555154.0	0.0	151.0	37.0	21.876802839706865	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T01_1	C2M_T01_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3180662.0	0.0	151.0	37.0	24.748118752026823	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T01_2	C2M_T01_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3180662.0	0.0	151.0	37.0	25.68644186897538	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T02_1	C2M_T02_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3452992.0	0.0	151.0	37.0	28.738107838413253	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T02_2	C2M_T02_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3452992.0	0.0	151.0	37.0	30.692627584181214	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T03_1	C2M_T03_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2948968.0	0.0	151.0	37.0	24.427879156401985	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T03_2	C2M_T03_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2948968.0	0.0	151.0	37.0	26.721401010468814	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T04_1	C2M_T04_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2359935.0	0.0	151.0	38.0	27.546555548052098	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T04_2	C2M_T04_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2359935.0	0.0	151.0	37.0	27.868008960904206	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
C2M_T05_1	C2M_T05_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2887757.0	0.0	151.0	37.0	26.413528889826875	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T05_2	C2M_T05_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2887757.0	0.0	151.0	37.0	27.76830080797693	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T10_1	C2M_T10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3041981.0	0.0	151.0	38.0	27.262099766181112	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T10_2	C2M_T10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3041981.0	0.0	151.0	37.0	28.44391261961362	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T15_1	C2M_T15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3709814.0	0.0	151.0	37.0	26.148657498148907	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T15_2	C2M_T15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3709814.0	0.0	151.0	37.0	28.671511960062094	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T20_1	C2M_T20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5657679.0	0.0	151.0	37.0	23.13426774302927	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C2M_T20_2	C2M_T20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5657679.0	0.0	151.0	37.0	25.889746917477535	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T01_1	C3I_T01_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4301995.0	0.0	151.0	37.0	28.46723178369569	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T01_2	C3I_T01_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4301995.0	0.0	151.0	37.0	29.89312490650322	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T02_1	C3I_T02_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5536727.0	0.0	151.0	37.0	17.934864242906627	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T02_2	C3I_T02_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5536727.0	0.0	151.0	36.0	20.71212518326533	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T03_1	C3I_T03_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3845345.0	0.0	151.0	37.0	16.485149033227184	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T03_2	C3I_T03_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3845345.0	0.0	151.0	37.0	19.63330075792005	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T04_1	C3I_T04_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3974349.0	0.0	151.0	37.0	19.377506517986966	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T04_2	C3I_T04_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3974349.0	0.0	151.0	37.0	20.705054611688556	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
C3I_T05_1	C3I_T05_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4058431.0	0.0	151.0	37.0	19.866538771007306	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T05_2	C3I_T05_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4058431.0	0.0	151.0	37.0	22.747075156511844	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T10_1	C3I_T10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3510055.0	0.0	151.0	37.0	18.53720562541403	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T10_2	C3I_T10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3510055.0	0.0	151.0	37.0	19.75827553622143	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T15_1	C3I_T15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5206196.0	0.0	151.0	37.0	23.736048244053805	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T15_2	C3I_T15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5206196.0	0.0	151.0	37.0	26.118936516577968	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T20_1	C3I_T20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3691312.0	0.0	151.0	37.0	19.546181801184677	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3I_T20_2	C3I_T20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3691312.0	0.0	151.0	37.0	21.279421415983407	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T01_1	C3M_T01_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3913341.0	0.0	151.0	37.0	21.824649544428876	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T01_2	C3M_T01_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3913341.0	0.0	151.0	37.0	21.961633512065813	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T02_1	C3M_T02_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4671086.0	0.0	151.0	37.0	24.563829321162114	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T02_2	C3M_T02_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4671086.0	0.0	151.0	37.0	28.365740357055607	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T03_1	C3M_T03_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4672254.0	0.0	151.0	37.0	28.10970390815054	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T03_2	C3M_T03_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4672254.0	0.0	151.0	37.0	32.799861079936974	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T04_1	C3M_T04_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3914584.0	0.0	151.0	37.0	23.324815397331637	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T04_2	C3M_T04_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3914584.0	0.0	151.0	37.0	25.35940776923012	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T05_1	C3M_T05_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4237401.0	0.0	151.0	37.0	22.862466781635774	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T05_2	C3M_T05_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4237401.0	0.0	151.0	37.0	25.99208287743553	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T10_1	C3M_T10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4171868.0	0.0	151.0	37.0	25.526735742770168	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T10_2	C3M_T10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4171868.0	0.0	151.0	37.0	28.178394167148753	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T15_1	C3M_T15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5154494.0	0.0	151.0	37.0	18.165284523206278	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T15_2	C3M_T15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5154494.0	0.0	151.0	36.0	22.359811818930815	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T20_1	C3M_T20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4259395.0	0.0	151.0	37.0	18.47160517347971	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C3M_T20_2	C3M_T20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4259395.0	0.0	151.0	37.0	21.906680345783826	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP05_rep1_1	Host_DP05_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3931704.0	0.0	151.0	39.0	38.844249400292725	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP05_rep1_2	Host_DP05_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3931704.0	0.0	151.0	38.0	41.9687790429844	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP05_rep2_1	Host_DP05_rep2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3784903.0	0.0	151.0	38.0	39.65506839326609	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP05_rep2_2	Host_DP05_rep2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3784903.0	0.0	151.0	38.0	43.02538208654656	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP05_rep3_1	Host_DP05_rep3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5283947.0	0.0	151.0	38.0	33.94374573825122	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP05_rep3_2	Host_DP05_rep3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5283947.0	0.0	151.0	38.0	37.08745890901971	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP12_rep1_1	Host_DP12_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5210647.0	0.0	151.0	39.0	33.879873264971145	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP12_rep1_2	Host_DP12_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5210647.0	0.0	151.0	38.0	36.73356719564057	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP12_rep2_1	Host_DP12_rep2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4067912.0	0.0	151.0	39.0	38.31308874080436	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP12_rep2_2	Host_DP12_rep2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4067912.0	0.0	151.0	38.0	41.65386037245877	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP12_rep3_1	Host_DP12_rep3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4843326.0	0.0	151.0	38.0	35.28091111424895	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP12_rep3_2	Host_DP12_rep3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4843326.0	0.0	151.0	38.0	39.034027476573826	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP15_rep1_1	Host_DP15_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4361593.0	0.0	151.0	38.0	38.22212495535267	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP15_rep1_2	Host_DP15_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4361593.0	0.0	151.0	38.0	41.53545827190552	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP15_rep2_1	Host_DP15_rep2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5709544.0	0.0	151.0	38.0	33.810730349590415	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP15_rep2_2	Host_DP15_rep2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5709544.0	0.0	151.0	38.0	37.387365555077906	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP15_rep3_1	Host_DP15_rep3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5548345.0	0.0	151.0	38.0	34.23252916298755	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_DP15_rep3_2	Host_DP15_rep3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5548345.0	0.0	151.0	38.0	37.83390790228711	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_Mix_rep1_1	Host_Mix_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6610667.0	0.0	151.0	38.0	32.57497007218228	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_Mix_rep1_2	Host_Mix_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6610667.0	0.0	151.0	38.0	35.62065248879115	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_Mix_rep2_1	Host_Mix_rep2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4602010.0	0.0	151.0	38.0	38.720226737142475	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_Mix_rep2_2	Host_Mix_rep2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4602010.0	0.0	151.0	38.0	46.783298476936515	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_Mix_rep3_1	Host_Mix_rep3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5532784.0	0.0	151.0	38.0	34.75221594395819	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Host_Mix_rep3_2	Host_Mix_rep3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5532784.0	0.0	151.0	38.0	38.79007068321675	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Phage_Bill_rep1_1	Phage_Bill_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4251532.0	0.0	151.0	38.0	11.7887503151517	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
Phage_Bill_rep1_2	Phage_Bill_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4251532.0	0.0	151.0	38.0	13.702864678811535	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
